sample_id,class_label,observation_group_id,overlap_component_id,geographic_block_id,survey_year,provenance_id,source_resolution_m,patch_size_m,processing_version,qa_status,sampling_stratum,patch_sha256,split_random,split_geographic
E001P-09ba26473d2a,positive_bowl_barrow,E001G-4cb3215807c5,,BNG_100KM_E5_N1,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,3e808e5c73a15f87d4ad4f90e7af8438e5ee77adf0f2c581d062d6e9b6f4f930,train,train
E001P-09fae9b51dad,positive_bowl_barrow,E001G-ef1b05cdeb42,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,10528d47c95ebeeb15d4e34610ae75fad17033d6bc4a7d1f15d5275e2daeea70,train,train
E001P-0a2f9ca4f569,positive_bowl_barrow,E001G-46ccdc698e45,,BNG_100KM_E5_N2,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,2bd623e8d786f66cde37f122651136d768c8aeb43fffe58847d720dc5ff53d8a,train,train
E001P-0a3bf5c088b1,positive_bowl_barrow,E001G-fb39246bb3b8,,BNG_100KM_E4_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,e77c19b129e49e9c845edf5a5c6c513f366100fae1a57904cfa6ffc220b1d9c4,train,train
E001P-0a8912b5d0ed,positive_bowl_barrow,E001G-9ea08e2a2fca,,BNG_100KM_E3_N2,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,3df91d47f54200e13555ad288a4528e7031fbb9223ab5a6a90110b1c9f67faf2,train,final_test
E001P-0ce54cd450a2,positive_bowl_barrow,E001G-4dd1d735589e,E001O-68b0520bfa4a,BNG_100KM_E2_N0,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,36514cf0de9f0584cbdb8bf5e069603cebd8b9b0472dc4c989bd58b67ae40892,train,development
E001P-0d9fb24a2f72,positive_bowl_barrow,E001G-8ed85cf92dd6,,BNG_100KM_E3_N5,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,d076e37e61ed101eae02975b593dd1cbb4d5a6dc73be5a4c0488efc81e65ef05,train,train
E001P-0eeea3cc07c3,positive_bowl_barrow,E001G-5bbdbf30903d,,BNG_100KM_E2_N1,2022,EAP-a800a13742ee,1.0,128,e001-terrain-v1,pass,positive_curated,744e66fe54e17048f0804cddc16398b77d91fe19036ec459bf21887ab5f00c8f,train,train
E001P-0f3564596a0f,positive_bowl_barrow,E001G-2384e602d60a,,BNG_100KM_E3_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,a041915678a1d093465e7997eb6beb76654fc9c62bf7a1bac20324628f7ac940,train,final_test
E001P-10e5cdeedaa8,positive_bowl_barrow,E001G-a3d5a7e7675f,,BNG_100KM_E3_N1,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,0d25fa497fcc25147ea22071eb3f76affbb88b2d11de776f945428d7c2477817,train,train
E001P-10e8a158d0c4,positive_bowl_barrow,E001G-cecc60c63348,,BNG_100KM_E5_N4,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,aad11680f20e37848121802db5eafb4fc3a6e1e2ec27d9403c4238e3e74e3062,train,final_test
E001P-1107432db51f,positive_bowl_barrow,E001G-798eba2953ad,,BNG_100KM_E3_N1,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,153ebe9a26558eea164ca26685d9a949b13853570ea6ee314c3434a991f09539,train,train
E001P-130f030b649f,positive_bowl_barrow,E001G-6a4b9b5b794d,,BNG_100KM_E5_N0,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,222f699fe4863f56daaa73ba3e4ecab60a2caf05c8d2ae89bc48a14b1eeb7e20,final_test,train
E001P-13259cdbf785,positive_bowl_barrow,E001G-c1f6510805af,,BNG_100KM_E4_N3,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,32a6f84b968df21796cdcea672493a8b36ed1cda7f7230c3582c757df9417674,train,train
E001P-15f40e5ee9a0,positive_bowl_barrow,E001G-f06a67ca5784,,BNG_100KM_E5_N1,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,58396f4f4b4af128d0fe1900271bbba559241639b6cc39bb6ee31b15ca2f2bde,train,train
E001P-17551bc1f077,positive_bowl_barrow,E001G-77b09e448520,,BNG_100KM_E3_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,940c2962e9b4b455f804981eb07ae43ab3b53c44c5cb0a7786f3754661cb890d,train,train
E001P-1a00bdef6714,positive_bowl_barrow,E001G-bb9b71b424d7,,BNG_100KM_E5_N4,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,b26d316ae0e27669b208be5c2afc20da2b0a588b62d5a249d25c01f87f61fd1b,train,final_test
E001P-1acd41dcaa9f,positive_bowl_barrow,E001G-3d8ed3f59a03,,BNG_100KM_E4_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,7d893fe9ef3f30003df2dfde1c9509e4159fec11233ad25ebd0e1c4c0652dd4b,train,train
E001P-1bba9e201f5e,positive_bowl_barrow,E001G-ca719b591f83,E001O-0157ec1605ec,BNG_100KM_E3_N4,2022,EAP-a800a13742ee,1.0,128,e001-terrain-v1,pass,positive_curated,ae2ec03d941397ecc9b3f50973374fcdae957cf83242d1af9ea02b4906721aab,train,train
E001P-1d05935be556,positive_bowl_barrow,E001G-5ea07bc2bedb,,BNG_100KM_E4_N2,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,4856490940c752924cb7271e0456c27447eafbde24bfa658be72e73c45bc1db8,train,train
E001P-1dfaf16a1f91,positive_bowl_barrow,E001G-15d32ed1e7e6,,BNG_100KM_E4_N3,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,15c17e9038294e5e51e75cc7f926524fbb9e4b94b75ecffa29186160a3d55a37,train,train
E001P-2068fb52a8d8,positive_bowl_barrow,E001G-4a2813850933,,BNG_100KM_E2_N1,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,fc1aae7d1498f65e15cc1f9db011bed6384ea86cc3739d5fe037be40a764c9f4,train,train
E001P-21d2bc912174,positive_bowl_barrow,E001G-d3f66fa28063,,BNG_100KM_E5_N3,2017,EAP-8e32eccbc87e,1.0,128,e001-terrain-v1,pass,positive_curated,32e26fd436c6725c3866b37faeb760711bda046e44ed5b23d32934ce18d304ed,train,train
E001P-25027836e936,positive_bowl_barrow,E001G-80a69e873b15,,BNG_100KM_E4_N0,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,c7437eb7b3a5ec5cf45bc3163ae3780c0ec54be8713ea6f89cf6a967d61b977b,development,train
E001P-254bf6047f5d,positive_bowl_barrow,E001G-b93e469da5cb,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,6c1b45a8cf2b9043aeed10051e140b4de6202722502fdd376cb035501724249b,train,train
E001P-256e3ab7773a,positive_bowl_barrow,E001G-b9d4336490c8,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,e80ea0bfdedcf96c188ef837a6485fafcdfd9cb326fae7535cce1824d96e1acf,train,train
E001P-25e1a665183b,positive_bowl_barrow,E001G-502e81b44926,,BNG_100KM_E5_N1,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,cd98c661bf544e330e1fc84b2ac83e4323989a95d8f5547960c1bb8921b60b91,train,train
E001P-2651ce5e9a62,positive_bowl_barrow,E001G-ca4b7ba2e224,,BNG_100KM_E1_N0,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,3aacb7933378edec356eccc03aef8655b1e81ef83d16c8fe235f1d66c128b34e,final_test,train
E001P-26afcc3dc112,positive_bowl_barrow,E001G-274fb4c67521,,BNG_100KM_E4_N5,2016,EAP-4f02812edece,1.0,128,e001-terrain-v1,pass,positive_curated,65b0fc2aa5d8cfe8c68356dc11d059a7de33c2eef7fc2a66a52473ff7ab713b1,train,train
E001P-26d122ea5984,positive_bowl_barrow,E001G-a4964c1ba0ec,,BNG_100KM_E3_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,3f825998f9def0b84b4a4d4cb7992d7373e47ae7091e316d6078fed21ccc89bd,final_test,train
E001P-2718e6db8f18,positive_bowl_barrow,E001G-b1124e63cbf8,,BNG_100KM_E3_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,644a1560ba1750dda96d28fef4e9214c2f492e8f899d81619bdaad560a8e89a1,train,train
E001P-2770bd1727d5,positive_bowl_barrow,E001G-af3de42e4b8a,,BNG_100KM_E5_N2,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,119683e4fb3af411feb989d8b760b7a20ba6ff810e9a0b1a38a5d4fa05d45597,train,train
E001P-277f2234f0b6,positive_bowl_barrow,E001G-9346405b13d5,,BNG_100KM_E3_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,721c0e6ef4e629204094e063c7ea6defd5feb5b0c37903784b485687d577052a,final_test,final_test
E001P-291a61777d19,positive_bowl_barrow,E001G-14e6965f4cb2,,BNG_100KM_E3_N5,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,4bedc1b34a687b0d2a06b44fc82c6f46468fc5d3825dc40fefe0d1522558ae39,train,train
E001P-2cb9af32abbb,positive_bowl_barrow,E001G-ee96a6833635,,BNG_100KM_E3_N5,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,1e80727f733da448bc71de88a9f41e7fa659559c0c3247eb5731dfdaa0df3303,train,train
E001P-2e4fd3b6d133,positive_bowl_barrow,E001G-0bac9c835b37,,BNG_100KM_E3_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,8bf272308535c2cf8e7917a40e67b678e9ec4d668d9a7169e36aff734cbaf408,train,train
E001P-2e54caba2058,positive_bowl_barrow,E001G-5bfc34cec829,,BNG_100KM_E4_N3,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,faa6940a848b05101165ac597b687eb96f13d8db1d4f6f2719b29d6346c39222,train,train
E001P-310412ced3d4,positive_bowl_barrow,E001G-2765a8fcae55,,BNG_100KM_E5_N2,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,0ce835031db47dada79020fbb1546a37ceacd310ea587c004112024888f672d6,train,train
E001P-31104727ee3a,positive_bowl_barrow,E001G-5e86adacdf4c,,BNG_100KM_E3_N5,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,f32c64d71d6fb026ecc436f4b543c3ffdea33bd6a67d1fec75d871d5871fe762,train,train
E001P-3147b27a3ecf,positive_bowl_barrow,E001G-a28b02e3a644,,BNG_100KM_E2_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,f8b0b736ef4dd1f979869ad0055f61c7d13eb22c05ae2e2c1f61a720b1278aca,final_test,development
E001P-31b2f81982e0,positive_bowl_barrow,E001G-45e97e073b6d,,BNG_100KM_E2_N1,2022,EAP-a800a13742ee,1.0,128,e001-terrain-v1,pass,positive_curated,e4dfd0e9e630efc05a0b002588bcd1de79d04532c018e5a243f7fb7792cabbf2,train,train
E001P-31c28507c037,positive_bowl_barrow,E001G-4a425eb7d4c9,,BNG_100KM_E6_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,685a696b28742d6efd82a12adbc78dbca4ed0b3b525a8ffb7a2dc33de60f57b7,train,train
E001P-327fe36b44b4,positive_bowl_barrow,E001G-f0c7930d6878,,BNG_100KM_E4_N1,2017,EAP-8e32eccbc87e,1.0,128,e001-terrain-v1,pass,positive_curated,cb1bf58268e9679f4227b429f67b46eda45fd628d359bac7c5e1374c07a55027,final_test,train
E001P-331e36a101ea,positive_bowl_barrow,E001G-f6167c7f2718,,BNG_100KM_E4_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,100c3e708eede835e692face20239d2f1156361323892ebb893dbdba17e25d92,development,train
E001P-33e202f97569,positive_bowl_barrow,E001G-75de09519dfc,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,ac2f73b946f0142a75ff9b532c51f57631a88217ca00fb27f64981814a569cb7,train,train
E001P-3436e9c3a0e3,positive_bowl_barrow,E001G-85e55d9c3a05,,BNG_100KM_E4_N1,2017,EAP-8e32eccbc87e,1.0,128,e001-terrain-v1,pass,positive_curated,72887eff471acbfbd5d031816a44c8a517aa8f1a58c99f9026e6676ed649a181,train,train
E001P-34772b4967d0,positive_bowl_barrow,E001G-48cbf7fa0513,E001O-312cb30204a0,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,3694ebdb53595e830948a2a69a3015a46b3e6e4a6c0f9e71997717048e8e70d3,development,train
E001P-357c64cd54b4,positive_bowl_barrow,E001G-84bb465ef288,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,c70b9cb5cbc3c5269abe27860b1475fad84d7f2555e60d825fb2bb4823b8362f,train,train
E001P-35866883594c,positive_bowl_barrow,E001G-5ff09fcdbadd,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,f1c7c0d92e310e5c38cf31fd8d79d540711b94b3153680badaac57cb12e45c1a,train,train
E001P-35892494ae4b,positive_bowl_barrow,E001G-7e6f6e41ad9c,,BNG_100KM_E4_N1,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,68b907f93dcd80848b81219d723e15f2ec74c12f21a6b245551f7e84c2d11f8b,train,train
E001P-35df044d4248,positive_bowl_barrow,E001G-250157aeacde,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,327c59dbe4e53b4f8d61b20613d8133aad20002249b626e36e715b35b77f5e13,development,train
E001P-35f3839a8c78,positive_bowl_barrow,E001G-75482fc67325,,BNG_100KM_E2_N0,2022,EAP-a800a13742ee,1.0,128,e001-terrain-v1,pass,positive_curated,5d624306ffe8754688e95f09e74d9e18d1f653ed0c296e2701b96da8bcfe336f,final_test,development
E001P-38adfe10bb5d,positive_bowl_barrow,E001G-dabb7425a1fc,,BNG_100KM_E6_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,c59aad4bdae54ba37a45d4cbe9c9e8bcd634a835d190d54f11d1c2c6a967d00d,train,train
E001P-38da87c5efd5,positive_bowl_barrow,E001G-f09e7fd58b79,,BNG_100KM_E4_N5,2009,EAP-fa2ffbdc01b2,1.0,128,e001-terrain-v1,pass,positive_curated,9abf96e801463181e972eff06cd163ce1d564124c8b7c6e43f787fb8ca1df7fb,train,train
E001P-398e3e398328,positive_bowl_barrow,E001G-f56ffa4fedf9,,BNG_100KM_E5_N1,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,775dccc83af6db8b2da53995ae823b53c78337cb866deeaf4435aec7ebab1f2b,train,train
E001P-3a5d8b713a5f,positive_bowl_barrow,E001G-7fdb8286ea34,,BNG_100KM_E3_N3,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,cbf11874f0a83c3faca26fc59411442da0fe52102066a16c996ed667cb0b6ee6,train,train
E001P-3f3e05b7947b,positive_bowl_barrow,E001G-736fcc024fd8,,BNG_100KM_E3_N5,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,eb2fc10fab32d092c91d162bd5d730bc52dab83ef600060b80cbd42271d9bfc5,train,train
E001P-41456d2a7a43,positive_bowl_barrow,E001G-894bb050c9a3,,BNG_100KM_E4_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,07ffae65083b16a203b4bee7b1f2ab0b40d5be858821b91fc02c2608062ae9bd,train,train
E001P-47e46c734663,positive_bowl_barrow,E001G-5d50a131e6dd,,BNG_100KM_E5_N4,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,5a2c615d4e7ab2ec8592bc7ed2ab239e323fe3fa18c5a5689555ba71eefa2b98,train,final_test
E001P-47ff5f35a931,positive_bowl_barrow,E001G-d5b1d653aa5f,,BNG_100KM_E5_N2,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,57427e14c0ed61ce1797ecadd5ea28060fb8e3698153308e4671f20e1e0b0d76,train,train
E001P-484b9decb35a,positive_bowl_barrow,E001G-c26548eecc3c,,BNG_100KM_E2_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,65ecca22711e1b27861e2c81eb4af8b76221cb7094eb90df07c0fb830855bd2f,train,development
E001P-48a754407212,positive_bowl_barrow,E001G-812e2825303e,,BNG_100KM_E5_N2,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,32c0119ccbca4094da90d66056f79a0864a321d7177577bd9f6a66da9d2d7723,train,train
E001P-48ba248bd720,positive_bowl_barrow,E001G-37b889ffccf4,,BNG_100KM_E3_N1,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,4d1b2fccddbc727d7b12400100726c5baf96f40ecdb344f687bb5ac758ddcf89,train,train
E001P-48d069b3fe47,positive_bowl_barrow,E001G-a13bef006ce8,,BNG_100KM_E3_N1,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,95a86d5f1eda2d33ecdeef51f101eeb7231b5d12c5fe9d595a7db6140f19f64a,train,train
E001P-4a80187aa7a4,positive_bowl_barrow,E001G-d82922b918f2,,BNG_100KM_E3_N1,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,148c87f8e23dc935f120a1c2ba95a0598653160f9902369313833e2d05678777,train,train
E001P-4aca0288053d,positive_bowl_barrow,E001G-69f98e953c38,,BNG_100KM_E3_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,de54643b0367b9ad731ff01e130f9902f08f1c3aff7d9ddf0da3cdb24c3522e4,train,final_test
E001P-4c008470f424,positive_bowl_barrow,E001G-7acaaf66d519,,BNG_100KM_E5_N4,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,0fb39223a93543b0d675e67655c2664066d052da59a616adae1c788b159510c2,train,final_test
E001P-4d7bd772d6f8,positive_bowl_barrow,E001G-07b3affcb6b0,,BNG_100KM_E1_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,51da58c69e7fff546ed8501780309ea369438c2aa4e6501a22243c5ceb46add8,train,train
E001P-4e92968f48c6,positive_bowl_barrow,E001G-87ca1deeea80,,BNG_100KM_E4_N3,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,b8c755d704678599e542e9c668106315c52977a0ff0ba565be98a9e17bc9fbde,train,train
E001P-501a3f5eacbd,positive_bowl_barrow,E001G-5e0501021308,,BNG_100KM_E5_N3,2017,EAP-8e32eccbc87e,1.0,128,e001-terrain-v1,pass,positive_curated,d4d16054f1face14cfad770a35bee5330987b51d78a3bc7803d44a2b0c88f348,train,train
E001P-503f67814972,positive_bowl_barrow,E001G-ca719b591f83,E001O-0157ec1605ec,BNG_100KM_E3_N4,2022,EAP-a800a13742ee,1.0,128,e001-terrain-v1,pass,positive_curated,734493d03f0a7efb33753e019d10f867b89859942c43e1b807959b223eaa0761,train,train
E001P-51608b858a44,positive_bowl_barrow,E001G-c33db9c01546,,BNG_100KM_E5_N4,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,1d38a4d3cd334f8235a4b09988c58360a8ddd84be6206c0b4ffa6f9fd3ed1e39,train,final_test
E001P-5396065ca2a8,positive_bowl_barrow,E001G-6aa0eca8a0a6,,BNG_100KM_E2_N0,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,8825b20b8e5f1f94d87694a0f431f3395b50c3d4ca54bfd7dd522d2276e684e2,train,development
E001P-540c6808d333,positive_bowl_barrow,E001G-4900b71cce99,,BNG_100KM_E4_N5,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,9178e15954cba1d4b7e67e0e61f700c30b76e9818f4a10d80c337dcbbc5e3a92,final_test,train
E001P-545862a1f88c,positive_bowl_barrow,E001G-f680a024fe1f,,BNG_100KM_E4_N3,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,04a2333d04e653daf7f3cc3427a9661ad43ca903386edea42779dc3aa4401ac0,train,train
E001P-550ce30b15ca,positive_bowl_barrow,E001G-a2f1f531a247,E001O-45e9ba342c62,BNG_100KM_E6_N2,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,a3583efa13b690756e34a88f96fe845443de941d904b85c32082e3b3f3024333,train,train
E001P-5633f1afbd36,positive_bowl_barrow,E001G-62f251867b80,,BNG_100KM_E3_N5,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,f18b6641e5ec49eb7589b261d8a3c16b5296b407b54d297c7e20676b6d29f7a7,train,train
E001P-56f14b915965,positive_bowl_barrow,E001G-be1faeebeb38,,BNG_100KM_E4_N1,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,2f3e19ece0d7c6a9210bd05fee54256f5c3088443c3cad771dec685c156cee8e,train,train
E001P-57c10cf13230,positive_bowl_barrow,E001G-0ec6afe2ab57,,BNG_100KM_E3_N1,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,96ecfad45f6031f99ef6f277f05850a27ec0e775df14190ce23f5c85cd8badaa,train,train
E001P-585898e6c6cd,positive_bowl_barrow,E001G-882145fc2ae5,,BNG_100KM_E5_N3,2017,EAP-8e32eccbc87e,1.0,128,e001-terrain-v1,pass,positive_curated,ce1832bbb97ef88af42eacaa9f4cc3c73cd3dd75be66c70ad90c30fada8b3ef0,train,train
E001P-593eedc49bfb,positive_bowl_barrow,E001G-836af9bde0da,,BNG_100KM_E3_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,61aa19b931e902274767e22deabe098432da40092abafaddda247eab6f812a10,train,final_test
E001P-595c4a24e7f7,positive_bowl_barrow,E001G-0e15e84eb57d,,BNG_100KM_E3_N3,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,e43f8e19f8ba88be73b6e5e109de734ecbe233e4687b04b23d32a88a4d01aad2,train,train
E001P-59dfa0fe8fcf,positive_bowl_barrow,E001G-d4db32761647,,BNG_100KM_E5_N1,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,667af7641667821191cb8a7704f2b202730b17c938105c0c6d15071a2cbaa793,train,train
E001P-5a23e7a3033b,positive_bowl_barrow,E001G-4dd1d735589e,E001O-68b0520bfa4a,BNG_100KM_E2_N0,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,7b4b1d1b3a949703a119dc7ef7d8e0a91e935d05de46d75a1e7e9028259ab73d,train,development
E001P-5a6995b83b3d,positive_bowl_barrow,E001G-0dccef6e9495,,BNG_100KM_E3_N3,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,f75373ce3832617c0118c3d4c8f4f6038eaf54a98c76ad39f6a1f4df2e761302,train,train
E001P-5ad89861f977,positive_bowl_barrow,E001G-af996ac503ae,,BNG_100KM_E5_N2,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,dc6ae4aa439de8c28ae20dea7406361716a96464f3209e54fd1d11ca26b7121e,train,train
E001P-5b8ddab53ee4,positive_bowl_barrow,E001G-1b778d246159,,BNG_100KM_E2_N1,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,57419413afb9b3ba4c708185e9b1cb5fe1229ba2aaa8b39d7c337a4e4f57b203,train,train
